会員ID,登録エリア,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答施設,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの,満足度(商品・サービス),満足度(商品・サービス)の理由,満足度(施設全体),満足度(施設全体)の理由,0,1,5,65,1958,124823,熊川宿 エリア,,男,60代,岐阜県,羽島市,分からない/無回答,mobile/android,2023-04-28 21:25:52,4月,北陸新幹線 越前たけふ駅 エリア,道の駅「越前たけふ」,38.北陸新幹線 越前たけふ駅 エリア,越前市,丹南,日帰り,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"その他スポーツ（ゴルフ、テニスなど）
","自家用車
",どちらでもない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満","1,000円以上 3,000円未満",初めて,"観光パンフレット・ポスター
",選択なし/該当施設なし,"1,000円未満",満足,感じなかった,また行きたい（1年以内）,10,53,1970,131641,越前大野城・城下町 エリア,女,50代,福井県,福井市,100万円以上 200万円未満,mobile/iphone,2023-04-29 22:39:18,21.越前大野城・城下町 エリア,大野市,勝山市・大野市,友人,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
名所、旧跡の観光
まちあるき、都市散策
","県外から訪れていない（福井県在住）
","10,000円以上 20,000円未満",使わない,2～5回目,"Instagram
友人・知人
","落ち着いた街並みに綺麗な景色。
あと温かい人柄。",福井県在住,38,1985,131782,一乗谷朝倉氏遺跡 エリア,30代,神奈川県,逗子市,800万円以上 900万円未満,2023-04-30 22:49:34,福井県立一乗谷朝倉氏遺跡博物館,06.一乗谷朝倉氏遺跡 エリア,福井市・永平寺町,小学生以下連れの家族,"地元の美味しいものを食べる
名所、旧跡の観光
まちあるき、都市散策
友人・親戚を尋ねる
","新幹線
","30,000円以上 40,000円未満","インターネット・アプリ
",不満,施設はなかなか見応えあり満足だったのですが、チケット販売受付の方が大変無愛想で、こちらの質問にとても冷たく対応され不快感を覚えました。その点だけとても残念に思いました。博物館のスタッフの方は皆様にこやかでしたが、復原町並の方のおばさん、なんとかして欲しいです。,機会があれば行きたい,8,132017,レインボーライン エリア,京都府,宇治市,300万円以上 400万円未満,2023-05-01 22:59:08,5月,77.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,夫婦2人,"地元の美味しいものを食べる
","40,000円以上 50,000円未満",とても満足,9,57,1966,132126,大本山 永平寺 エリア,兵庫県,姫路市,700万円以上 800万円未満,2023-05-02 22:17:08,大本山 永平寺,34.大本山 永平寺 エリア,永平寺町,2泊,福井エリア（福井市・永平寺町）,"名所、旧跡の観光
スポーツ観戦や芸能鑑賞（コンサート等）
","インターネット・アプリ
ブログ
観光協会等の案内所
",越前大野城,北の庄城址・柴田公園,49,1974,132330,道の駅「恐竜渓谷かつやま」 エリア,40代,石川県,金沢市,400万円以上 500万円未満,2023-05-03 23:22:22,26.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市観光まちづくり(株),"地元の美味しいものを食べる
名所、旧跡の観光
",千古の家(坪川家住宅),33,1990,132644,無回答,静岡県,駿東郡,100万円未満,2023-05-04 23:39:54,三国・あわらエリア（あわら市・坂井市）,その他家族,"宿でのんびり過ごす
名所、旧跡の観光
","新聞・雑誌・ガイドブック
インターネット・アプリ
",道の駅「九頭竜・和泉ふれあい会館」,東尋坊,大野城の入館料が高いため,霧が出ていなかったため,感じた,駐車場周辺道路が狭い,無料駐車場、無料休憩所,湧き水を安心して飲める設備。ひしゃくは皆が口づけするので敬遠したい。,どちらともいえない,安価でカニの食べ放題ができるとよいが、現状、高くて手が出ない,56,1967,132854,愛知県,名古屋市港区,2023-05-05 23:40:12,"名所、旧跡の観光
",きれいに掃除もされていて、歩いていて気持ちよかったです。,観光マップの食事や城下町に何があるのか分かりづらかったです。,お城からの景色がとてもよく、お城までの自然の中を歩くのも、とても気持ちよかったです。,お城目的で、城下町の下調べ無しで出掛けたので、もう少し分かりやすい掲示板やマップがほしかったです。お蕎麦やさん情報も欲しかったです。,お蕎麦が好きなので、美味しいお蕎麦を紹介してほしいです。,37,1986,133075,web,野々市市,2023-05-06 23:56:53,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,"お祭りやイベントへの参加・見物
友人・親戚を尋ねる
","友人・知人
",西山動物園,58,1965,133232,明通寺 エリア,東京都,墨田区,2023-05-07 23:50:42,73.明通寺 エリア,小浜市,嶺南西部,(株)まちづくり小浜,"新聞・雑誌・ガイドブック
",若狭フィッシャーマンズワーフ,明通寺、国宝だから。,水羊羹を買おうと思ったが原材料が国産の記載が無かったため購入しなかった。その他の加工品でも原材料の産地の記載をして欲しい。,24,1999,133011,うるしの里 エリア,20代,2023-05-08 23:31:17,福井駅前 エリア,福井市観光物産館 福福館,01.福井駅前 エリア,4泊以上,11回目以上,営業時間,131930,江戸川区,"900万円以上 1,000万円未満",2023-05-09 23:17:05,3泊,"在来線
","路線バス
","50,000円以上 100,000円未満",養浩館庭園,47,1976,133261,港区,"1,500万円以上",2023-05-10 23:57:15,石川県加賀市,"まちあるき、都市散策
","飛行機
","レンタサイクル
",坂がきつかったが、食べ物のお店にちょこちょこ寄れたのは良かった,"20,000円以上 30,000円未満","観光協会等の案内所
",一乗谷朝倉氏遺跡,観光地観光地していて、厳かな雰囲気ではなく残念だった,胡麻豆腐が有名で購入はしたが、割高だなぁと感じた。胡麻豆腐に限らず、せっかくのご当地なら、ご当地だからこその価格帯になると嬉しい。東京で買うのと一緒ではつまらない。,7,74,1949,133482,70代,滋賀県,近江八幡市,2023-05-11 23:55:37,あわら湯のまち エリア,大江戸温泉物語芦原温泉あわら,17.あわら湯のまち エリア,あわら市,あわら市・坂井市,"宿でのんびり過ごす
温泉や露天風呂
",越前がにミュージアム
101079,web,,女,1991,32,30代,埼玉県,朝霞市,100万円未満,pc/others,2023-04-13 15:35:05,4月,一乗谷朝倉氏遺跡 エリア,特別史跡 一乗谷朝倉氏遺跡,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"飛行機
",0,0,0,1,1,0,0,"在来線
徒歩
",0,0,1,0,満足,上記満足度の理由につ,使わない,使わない,使わない,初めて,"観光協会等の案内所
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,羽賀寺,,九頭竜スキー場,使わない,とても満足,上記満足度の理由,感じた,上記不便を感じたり困,10,人に薦めたいと感じたも,ご自由にご意見,また行きたい（1年以内）,ご自由にご意見をお聞かせ下さい。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101079,web,,女,1991,32,30代,埼玉県,朝霞市,100万円未満,pc/others,2023-04-13 15:32:38,4月,福井駅前 エリア,えちぜん鉄道福井駅（福井駅インフォメーションカフェたびのは）,04.福井駅前 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"宿でのんびり過ごす
名所、旧跡の観光
まちあるき、都市散策
",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"新幹線
飛行機
",0,0,1,1,1,0,0,"在来線
路線バス
",0,1,0,0,満足,上記満足度の理由,使わない,使わない,使わない,初めて,"観光展・物産展
インターネット・アプリ
観光協会等の案内所
",1,0,0,0,0,1,0,0,0,0,0,1,0,0,岡太神社・大瀧神社,,熊川宿,使わない,とても満足,上記満足度の理由,感じた,上記不便を感じたり困ったことに,9,特に人に薦めたいと感じたものとその理由,ご自由にご意見,また行きたい（1年以内）,ご自由にご意見を,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101079,web,,女,1991,32,30代,埼玉県,朝霞市,100万円未満,pc/others,2023-04-13 15:35:05,4月,一乗谷朝倉氏遺跡 エリア,特別史跡 一乗谷朝倉氏遺跡,01.一乗谷朝倉氏遺跡 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"飛行機
",0,0,0,1,1,0,0,"在来線
徒歩
",0,0,1,0,満足,上記満足度の理由につ,使わない,使わない,使わない,初めて,"観光協会等の案内所
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,羽賀寺,,九頭竜スキー場,使わない,とても満足,上記満足度の理由,感じた,上記不便を感じたり困,10,人に薦めたいと感じたも,ご自由にご意見,また行きたい（1年以内）,ご自由にご意見をお聞かせ下さい。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101079,web,,女,1991,32,30代,埼玉県,朝霞市,100万円未満,pc/others,2023-04-13 15:32:38,4月,福井駅前 エリア,えちぜん鉄道福井駅（福井駅インフォメーションカフェたびのは）,04.福井駅前 エリア,福井市,福井市・永平寺町,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"宿でのんびり過ごす
名所、旧跡の観光
まちあるき、都市散策
",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"新幹線
飛行機
",0,0,1,1,1,0,0,"在来線
路線バス
",0,1,0,0,満足,上記満足度の理由,使わない,使わない,使わない,初めて,"観光展・物産展
インターネット・アプリ
観光協会等の案内所
",1,0,0,0,0,1,0,0,0,0,0,1,0,0,岡太神社・大瀧神社,,熊川宿,使わない,とても満足,上記満足度の理由,感じた,上記不便を感じたり困ったことに,9,特に人に薦めたいと感じたものとその理由,ご自由にご意見,また行きたい（1年以内）,ご自由にご意見を,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101079,web,,女,1991,32,30代,埼玉県,朝霞市,100万円未満,pc/others,2023-04-20 12:47:25,4月,丸岡城 エリア,丸岡城,08.丸岡城 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,2泊,三国・あわらエリア（あわら市・坂井市）,石川県加賀市,友人,"各種体験（手作り、果物狩りなど）
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"旅行会社ツアーバス
",0,0,0,0,0,1,0,"旅行会社ツアーバス
",0,0,0,0,どちらでもない,自由入力,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","1,000円以上 3,000円未満",11回目以上,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,一乗谷朝倉氏遺跡,,越前大野城,"5,000円以上 10,000円未満",,,感じた,自由入力自由入力自由入力自由入力,8,自由入力自由入力自由入力自由入力,自由入力自由入力自由入力自由入力自由入力,また行きたい（1年以内）,自由入力自由入力自由入力自由入力自由入力自由入力,満足,自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力,どちらでもない,自由入力自由入力自由入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101079,web,,女,1991,32,30代,埼玉県,朝霞市,100万円未満,pc/others,2023-04-20 12:46:11,4月,大本山 永平寺 エリア,永平寺親禅の宿　柏樹關,25.永平寺門前 エリア,永平寺町,福井市・永平寺町,,1泊,2泊,三国・あわらエリア（あわら市・坂井市）,石川県加賀市,友人,"お祭りやイベントへの参加・見物
各種体験（手作り、果物狩りなど）
",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"旅行会社ツアーバス
",0,0,0,0,0,0,0,"路線バス
",0,1,0,0,満足,自由入力,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","1,000円以上 3,000円未満",2～5回目,"観光連盟やDMOのHP
Instagram
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,選択なし/該当施設なし,自由入力自由入力自由入力,選択なし/該当施設なし,"5,000円以上 10,000円未満",,,感じた,"自由入力自由入力
自由入力自由入力自由入力自由入力自由入力自由入力",7,"自由入力自由入力自由入力
自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力","自由入力自由入力自由入力自由入力
自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力",また行きたい（1年以内）,"自由入力自由入力自由入力自由入力自由入力
自由入力自由入力
自由入力自由入力自由入力自由入力",どちらでもない,自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力,満足,"自由入力
自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101096,web,,男,1992,31,30代,茨城県,日立市,100万円以上 200万円未満,pc/others,2023-04-20 12:04:22,4月,丸岡城 エリア,丸岡城,08.丸岡城 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,1泊,福井エリア（福井市・永平寺町）,石川県金沢市,自分ひとり,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"レンタカー
",0,0,0,0,0,0,0,"タクシー
",1,0,0,0,満足,満足の理由,"1,000円以上 3,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",初めて,"観光連盟やDMOのHP
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,越前打刃物会館,,岡太神社・大瀧神社,"1,000円以上 3,000円未満",,,感じなかった,,10,すすめるところ,お土産意見,機会があれば行きたい,自由にいけん,満足,サービス満足,とても満足,施設満足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101096,web,,男,1992,31,30代,茨城県,日立市,100万円以上 200万円未満,pc/others,2023-04-20 11:48:53,4月,大本山 永平寺 エリア,永平寺親禅の宿　柏樹關,25.永平寺門前 エリア,永平寺町,福井市・永平寺町,,1泊,1泊,福井エリア（福井市・永平寺町）,石川県金沢市,自分ひとり,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"レンタカー
",1,1,0,0,0,0,0,"自家用車
レンタカー
",0,0,0,0,満足,,"1,000円以上 3,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,"観光連盟やDMOのHP
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"1,000円以上 3,000円未満",,,感じなかった,,10,,,機会があれば行きたい,,満足,,満足,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101079,web,,女,1991,32,30代,埼玉県,朝霞市,100万円未満,pc/others,2023-04-20 12:47:25,4月,丸岡城 エリア,丸岡城,08.丸岡城 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,2泊,三国・あわらエリア（あわら市・坂井市）,石川県加賀市,友人,"各種体験（手作り、果物狩りなど）
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"旅行会社ツアーバス
",0,0,0,0,0,1,0,"旅行会社ツアーバス
",0,0,0,0,どちらでもない,自由入力,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","1,000円以上 3,000円未満",11回目以上,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,一乗谷朝倉氏遺跡,,越前大野城,"5,000円以上 10,000円未満",,,感じた,自由入力自由入力自由入力自由入力,8,自由入力自由入力自由入力自由入力,自由入力自由入力自由入力自由入力自由入力,また行きたい（1年以内）,自由入力自由入力自由入力自由入力自由入力自由入力,満足,自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力,どちらでもない,自由入力自由入力自由入力,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101079,web,,女,1991,32,30代,埼玉県,朝霞市,100万円未満,pc/others,2023-04-20 12:46:11,4月,大本山 永平寺 エリア,永平寺親禅の宿　柏樹關,25.永平寺門前 エリア,永平寺町,福井市・永平寺町,,1泊,2泊,三国・あわらエリア（あわら市・坂井市）,石川県加賀市,友人,"お祭りやイベントへの参加・見物
各種体験（手作り、果物狩りなど）
",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"旅行会社ツアーバス
",0,0,0,0,0,0,0,"路線バス
",0,1,0,0,満足,自由入力,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","1,000円以上 3,000円未満",2～5回目,"観光連盟やDMOのHP
Instagram
",0,0,0,0,1,0,0,1,0,0,0,0,0,0,選択なし/該当施設なし,自由入力自由入力自由入力,選択なし/該当施設なし,"5,000円以上 10,000円未満",,,感じた,"自由入力自由入力
自由入力自由入力自由入力自由入力自由入力自由入力",7,"自由入力自由入力自由入力
自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力","自由入力自由入力自由入力自由入力
自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力",また行きたい（1年以内）,"自由入力自由入力自由入力自由入力自由入力
自由入力自由入力
自由入力自由入力自由入力自由入力",どちらでもない,自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力,満足,"自由入力
自由入力自由入力自由入力自由入力自由入力自由入力自由入力自由入力",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
