親番号,子番号,施設名称,電話番号,〒,住所,経度,緯度,営業時間,定休日,店舗URL,施設説明文
300001,1,特別史跡 一乗谷朝倉氏遺跡,0776-41-2330,910-2153,福井市城戸ノ内町28-37,136.293101,35.997632,9:00～17:00(入館は16:30まで),無休（12月28日から1月4日のみ休館）,https://www.fuku-e.com/spot/detail_1002.html,"一乗谷朝倉氏遺跡は福井市街の東南約１０キロにあり戦国時代朝倉氏五代の城下町の跡がそっくり埋もれていました。京都の金閣寺や広島の厳島神社に並び国の三重指定（特別史跡・特別名勝・重要文化財）を受ける大変貴重な遺跡となっています。栄華を極めた城下町の街並みをほぼ完全な姿で再現しており当時の衣装に着替えて戦国時代にタイムスリップしたような感覚になります。毎年８月には「越前朝倉万灯夜」「越前戦国まつり」を同時開催し、迫力ある火縄銃の砲煙を見ることができ夜には約15,000個をこえるキャンドルの灯で幻想的な雰囲気になります。"
300001,2,道の駅 一乗谷あさくら水の駅,0776-41-2777,910-2151,福井市安波賀中島町1-1-1,136.294602,36.020332,物産・情報コーナー　9:00～18:00、飲食コーナー　10：00～17：00（10:00～11:00モーニングタイム、16:00ラストオーダー）,年末年始・メンテナンスお休み,https://asakura-mizunoeki.com/,「人」と「水」との深いかかわりをコンセプトにした、道の駅「一乗谷あさくら水の駅」が平成27年4月4日（土）にオープンしました。福井名物「越前おろしそば」を味わえるほか、オリジナルのファーストフードや、地場産農産物や加工品（福井市認定加工品）などを販売しています。ビオトープではホタルの飼育を行っており、6月頃には、ホタルが美しく飛び交う姿を観賞することが出来ます。また、ふれあい情報館では、農業や生きものなどの展示物に加え、ゲーム感覚で学べる体験型展示物があり、一乗周辺の観光情報なども発信しています。
300001,3,福井県立一乗谷朝倉氏遺跡資料館,0776-41-2301,910-2152,福井市安波賀町4-10,136.299034,36.015309,,9月30日まで休館,,
300001,4,一乗谷レストラント,0776-97-5335,910-2153,福井市城戸ノ内町10-48,136.298017,36.003295,11:00～15:00(LO14:30)、冬季11:30～15:00,火曜、水曜,https://www.asakura-fukui.com/,"ここでしか味わえない料理を。
イノベーティブ・フュージョン
戦国時代、この地を100有余年も支配した朝倉氏。

文化人である朝倉氏の自治によって町は潤い、「小京都」と呼ばれるほどの栄華を誇っていました。

​

その地が1573年、織田信長に滅ぼされて以降、長い年月を経てそのまま土砂や田畑に埋もれたままとなり、1967年以降の発掘によって、ここだけがまるで時が止まっていたかのような、当時を彷彿とさせる素晴らしい遺跡が現代によみがえったのです。

​

この空間で、古のロマンに思いを馳せながら、現代に息づくこの地の食材に舌鼓。
田舎ならでは、このゆっくりと流れる贅沢なひとときをお愉しみください。"
300002,1,越前水仙の里公園,0776-89-2381,910-3555,福井市居倉町43-25,135.991022,36.012815,9:00～17:00,年末年始（12／29～1／1）,https://www.city.fukui.lg.jp/kankou/kankou/sisetu/echizensuisennosatokouen.html,"本海の雄大な景色を眺めながら、公園芝生でくつろぎ、
また越廼地区が発祥地と云われる越前水仙が栽培展示されている
水仙コーナーを中心とした水仙ドームにおいて、
水仙の花と香りを年間を通じて存分に楽しむことができます。"
300002,2,越前水仙の里　波の華温泉,0776-89-7387,910-3553,福井市蒲生町1-94,136.010129,36.03751,10:00～21:00(最終受付20:30),毎週火曜日,https://naminohana-onsen.jp/,"雄大な日本海の紺碧の海原と、その海を黄金に染める夕日が、心に残る美しい景色を見せてくれます。
この贅沢な眺望の中で、天然温泉の優しいぬくもりが疲れたからだをゆっくりと癒してくれます。"
300002,3,café MARE,0776-88-2323,910-3404,福井県福井市大丹生町70-3,136.025233,36.076421,10:00～19:00,年中無休,https://cafemare.jp/,"365日、日々移り行く自然の中で、
お客様自身が何かを感じ、
それぞれのストーリーを楽しんで頂きたい
と願っております。
『ここから始まる物語』=MARE記念日
ここでしか感じることのできない時
ここでしか感じることができない時間
唯一無二の体験を、大切な方と…"
300002,4,魚屋の喰い処まつ田,0776-89-2740,910-3553,福井県 福井市蒲生町16-7-1,136.010353,36.03244,11:00～16:00(LO15:00),木曜日(【11月～3月】は、無休),https://etizenkani.jp/,"本場の越前がにをはじめ、
地元定置網で捕れるピチピチの鮮度の魚にこだわりにこだわっております。
 刻々と移り行く旬を見極め「一瞬（旬）」をお客様に提供できるよう日々精進いたしております。"
300002,5,ワタリグラススタジオ,0776-88-2025,910-3402,福井市鮎川町 17-14,136.034764,36.098832,9:00～17:00,水曜日（火曜日はショップのみ営業）,https://watariglass.com/,"福井県福井市、越前海岸。海と山に囲まれた小さな町の手作りのガラス工房、ワタリグラススタジオ。
日常の中に美しさを見つけ、それをガラスに映そうと、日々制作をしています。
工房にはショップやテラスがあり、開かれた工房を目指しています。工房見学や制作体験も受け付けています。"
300002,6,ごーる堂ソフトクリーム直売店,0776-97-2125,910-3517,福井市畠中町28-6,136.04612,36.040018,夏季10:00~18:00　冬季10:00~17:00,夏季　毎週木曜日、冬季　水木金,http://www.gojiru.jp/,"カラダにやさしいココロにおいしい
乳・卵は一切使用しない１００％植物性ソフトクリームが自慢です！
乳・卵アレルギーの方にも楽しめます！
おススメの「きなこソフト」は、国産豆乳をベースにきな粉と白胡麻ペーストを加え仕上げています。
きな粉は、福井県産大豆をじっくり深めに焙煎してあるため、豊かな香ばしさが特徴になっています。
乳を使用しなくても、クリーミーで濃厚な味わいがあります。
大豆の素晴らしさ、パワーを伝承していくためにこれからもお店から発信していく想いです。"
